stop_id,stop_code,stop_name,stop_lat,stop_lon
4623,01,KĘDZIERÓWKA,51.98136607,21.03921726
4624,01,UWIELINY-SZKOŁA,51.97451447,21.04157798
4630,01,BIAŁY ŁUG,51.94864039,21.05394069
4633,02,DĘBOWA,51.97164934,21.04566126
4637,02,KASZTANOWA,51.99076537,21.05123746
4643,02,ZAWADZKA,52.01946724,20.90471606
4649,04,METRO MŁOCINY,52.29033104,20.92912332
4650,03,DWORCOWA,52.44017599,20.77702784
4651,01,PAŁACOWA,52.44876524,20.77583303
4652,01,POMNIK SAPERA,52.22818491,21.04206574
4662,07,DW. WSCHODNI (LUBELSKA),52.25014415,21.05255603
4672,04,SOWIŃSKIEGO,52.22561044,20.937449
4674,02,FELIŃSKIEGO,52.26041785,20.9884829
4675,01,FELIŃSKIEGO,52.26035282,20.99020187
4689,01,SPOKOJNA,52.08409441,20.87146597
4690,03,DEOTYMY,52.24655877,20.94753259
4691,02,RZECZNA,52.44565447,20.7678292
4693,01,KS.SITNIKA,52.2434721,20.94794242
4709,04,OSIEDLE MIRKÓW,52.09473673,21.13484112
4710,03,OSIEDLE MIRKÓW,52.09481435,21.13487572
4730,04,ZAPUSTNA,52.19552979,20.90924553
4738,01,CHEŁMOŃSKIEGO,52.19122414,20.90069267
4739,03,PICASSA,52.31265647,20.95790033
4743,01,GŁOSKÓW-ZIELONE,52.02924963,20.95926128
4744,01,POWSTAŃCÓW WARSZAWY,52.10544335,21.26366838
4753,03,SKOROSZEWSKA,52.19343084,20.90277669
4757,01,TERESPOLSKA,52.24940698,21.07002374
4759,11,PKP URSUS,52.19624327,20.88195361
4760,03,WKD RAKÓW,52.19439815,20.93619706
4784,01,UMIASTÓW,52.23144571,20.76463313
4785,02,UMIASTÓW,52.23159772,20.76401098
4788,01,POGROSZEW KOLONIA,52.23400621,20.72361797
4796,02,ŹRÓDLANA,52.21165391,20.70031642
4797,01,ŹRÓDLANA,52.21083398,20.69985988
4801,02,CMENTARZ,52.0790202,20.89140518
4802,01,KU WIŚLE,52.21221018,21.0636212
4806,01,MILENIUM,52.03275448,20.95167874
4811,01,ZAWADZKA,52.0189771,20.90443082
4816,02,ROSY,51.997619,20.924108
4872,06,URSUS-RATUSZ,52.20294604,20.89521698
4880,03,POSAG 7 PANIEN,52.20196851,20.87295992
4881,04,POSAG 7 PANIEN,52.2024658,20.87478203
4883,02,OBROŃCÓW WARSZAWY,52.21320679,20.7990231
4885,02,KOSSAKA,52.2223973,20.80121593
4886,01,KOSSAKA,52.2221325,20.80109996
4896,04,ANDERSENA,52.27848552,20.93949688
4902,02,ZASADOWA,52.18424768,21.17315543
4911,01,KAKOWSKIEGO,52.23048244,21.08373971
4918,05,PKP MOKRY ŁUG,52.27678207,21.16915096
4919,02,POSAG 7 PANIEN,52.20275232,20.87332429
4922,02,KRAŃCOWA,52.2136952,20.87298074
4928,01,BATALIONU MIOTŁA,52.23201035,20.9205339
4941,02,CIECISZEW-STARY KOŚCIÓŁ,52.06002664,21.17543485
4947,01,PARCELA II,52.06582439,21.15440132
4948,02,PARCELA II,52.06617952,21.15460201
4964,02,MALOWANA,52.1860362,21.1537937
4965,01,MALOWANA,52.1863344,21.1522469
4966,01,GAWRONIA,52.18547249,21.15953728
4967,02,GAWRONIA,52.18523188,21.16087877
4972,02,DO FORTU,52.19792745,20.98726447
4984,04,KADETÓW-SZKOŁA,52.21357271,21.11148193
4986,04,GOCŁAW,52.2228033,21.10231798
4992,02,LEŚNYCH BOGINEK,52.02179691,21.0411044
4993,01,IMBIROWA,51.99549858,20.92959231
4994,02,IMBIROWA,51.99524096,20.9302025
5001,03,SIENKIEWICZA,52.29024351,20.82709743
5004,01,URZĄD MIASTA,52.29402899,21.11385121
5005,02,URZĄD MIASTA,52.29380441,21.11389959
5010,03,JABŁONIOWA,52.05775367,21.1592669
5018,02,ŁYCZYN,52.06424405,21.15206987
5024,04,SKŁADKOWSKIEGO,52.19003676,20.89955703
5046,01,KRÓLIKA,52.06690171,21.05241184
5047,01,GOŁĘBIA,52.06306898,21.05113302
5066,01,BAGNISTA,52.11047,21.308501
5067,01,STAWOWA,52.11201864,21.32407748
5071,02,ŚWIERK,52.11324973,21.34915941
5083,01,TEKLIN,52.12651135,21.31069386
5084,02,TEKLIN,52.12616712,21.30924295
5091,01,SALOMEA,52.18744276,20.91118118
5092,02,SALOMEA,52.18762781,20.91086074
5094,02,PŁUŻNICKA,52.31007389,20.97123479
5095,01,PŁUŻNICKA,52.31052811,20.97031633
5096,02,KAFLOWA,52.32294482,20.96415441
5097,01,KAFLOWA,52.3225657,20.96538497
5101,02,STEFANÓW,52.05164955,21.06298685
5102,01,STEFANÓW,52.05208226,21.06176582
5113,02,AKACJOWA,51.98198482,21.11501537
5114,01,AKACJOWA,51.98203807,21.11484005
5139,06,RONDO ONZ,52.23281809,20.99596545
5140,01,MOST ŚWIĘTOKRZYSKI,52.24265011,21.03873897
5147,02,NOWAKA-JEZIORAŃSKIEGO,52.23102349,21.09636431
5148,02,RECHNIEWSKIEGO,52.23022914,21.1048002
5149,01,RECHNIEWSKIEGO,52.22954856,21.10755242
5157,03,METRO STADION NARODOWY,52.24152772,21.04131272
5159,07,METRO STADION NARODOWY,52.24210435,21.04199318
5172,04,PKP ZACISZE-WILNO,52.27736271,21.08093168
5178,01,ŁADNA,52.04492246,20.95139672
5187,01,STAWY,52.20445413,20.9214351
5188,14,METRO POLITECHNIKA,52.21920111,21.01559948
5193,01,DOBOSZA,52.21171817,20.96637892
5195,01,GŁÓWNA,52.03916879,20.99615044
5201,01,PĘCHERY,52.00851449,21.00118518
5214,01,ŻYMIRSKIEGO-PRZYCHODNIA,52.33863392,21.19915399
5225,01,STOICKA,52.16747733,20.9349606
5228,01,DWORKOWA,52.33059817,21.17066118
5229,01,SERWITUCKA,52.33802746,21.18279961
5237,01,RADZYMIŃSKA,52.34866496,21.19778396
5238,02,RADZYMIŃSKA,52.34854714,21.19937694
5245,02,CMENTARZ,52.337779,21.204936
5246,01,CMENTARZ,52.338116,21.204274
5256,04,WYNALAZEK,52.17894096,20.99353382
5261,01,NOWINEK,52.01592457,21.04052894
